epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
3,5573.28,0.95857,1.57114,1.39239,0.69868,0.61822,0.68039,0.55881,0.62829,0.92428,1.17131,0.0294054,0.0098018,0.0294054,0.0098018,0.0294054,0.0098018,0.0294054,0.0098018
10,5948.09,0.83581,1.18473,1.29876,0.7368,0.64766,0.71532,0.59282,0.59644,0.85123,1.15132,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,11898.5,0.83071,1.17414,1.2954,0.75127,0.66115,0.73066,0.60793,0.57956,0.78802,1.13004,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,17892.7,0.81989,1.1284,1.28518,0.75459,0.67316,0.74087,0.61788,0.57076,0.75848,1.12051,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
16,5571.29,0.78447,1.03523,1.25991,0.77609,0.714,0.77637,0.65324,0.5379,0.63667,1.07837,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,11185.1,0.80471,1.09214,1.27477,0.78006,0.71688,0.78054,0.65693,0.5332,0.62599,1.07322,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,5626.52,0.76999,0.99343,1.24766,0.78729,0.71849,0.7849,0.66093,0.5294,0.61695,1.06934,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,11263.5,0.79755,1.07313,1.26954,0.79091,0.7223,0.78863,0.66478,0.52685,0.60985,1.06574,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,5664.87,0.75715,0.95755,1.23858,0.79763,0.7217,0.79066,0.66708,0.52455,0.60378,1.06367,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,5238.27,0.75102,0.94142,1.23352,0.79088,0.73101,0.79334,0.66986,0.52237,0.59955,1.0618,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,10579.8,0.78987,1.05056,1.26264,0.80394,0.72557,0.79592,0.67268,0.52021,0.59367,1.05938,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,5442.3,0.73912,0.90975,1.22554,0.80215,0.72873,0.79817,0.67506,0.51911,0.59029,1.0588,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,5884.71,0.73375,0.89617,1.22072,0.80143,0.73406,0.79989,0.67699,0.51809,0.58878,1.05814,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,5508.26,0.72794,0.8805,1.2168,0.80318,0.73538,0.80133,0.67829,0.51724,0.58598,1.05758,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,11064.6,0.78173,1.02821,1.25735,0.80263,0.73786,0.80269,0.67971,0.51576,0.58157,1.05582,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,5879.78,0.71804,0.85349,1.20939,0.79916,0.74259,0.80469,0.68108,0.51458,0.5789,1.0552,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,11833.9,0.77663,1.01027,1.25247,0.80713,0.74147,0.80729,0.68405,0.5121,0.57487,1.05264,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,5284.23,0.70754,0.82856,1.2018,0.81364,0.74312,0.80838,0.68524,0.51113,0.57296,1.05217,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,5361.47,0.70148,0.81561,1.19662,0.81431,0.74301,0.80961,0.68604,0.51028,0.5706,1.05099,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,5276.5,0.69641,0.80583,1.19416,0.8114,0.74679,0.81055,0.68671,0.51035,0.57056,1.05196,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,5475.61,0.69039,0.79225,1.18949,0.81657,0.74438,0.8113,0.68751,0.5104,0.56962,1.05222,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
